District,Season,Sowing_Year,Sowing_DOY,SM_sow,RH_sow,Tmax_sow,Tmin_sow,Rain_30d,Tavg_30d,GDD_30d,SM_30d,RH_30d,Harvest_Day
Coimbatore,Samba,1995,227,0.71,86.26,26.53,20.53,122.26999999999995,23.986666666666668,13.98666666666667,0.7493333333333333,86.96933333333332,141
Coimbatore,Samba,2009,227,0.73,81.47,28.52,20.72,161.87999999999994,24.27083333333333,14.270833333333334,0.7739999999999999,87.01733333333333,135
Coimbatore,Samba,2024,228,0.87,85.73,29.47,22.25,236.92,24.471166666666665,14.47116666666667,0.8076666666666666,87.67933333333332,133
Coimbatore,Sornavari,1981,74,0.45,57.49,34.88,20.43,18.85,26.40533333333333,16.40533333333333,0.3033333333333333,45.796,113
Coimbatore,Sornavari,1995,74,0.46,50.39,35.52,18.4,16.42,27.6205,17.6205,0.2776666666666667,49.11066666666667,112
Coimbatore,Sornavari,2010,74,0.16,45.09,37.87,22.98,0.18,28.608999999999995,18.609,0.2139999999999999,47.73233333333334,107
Coimbatore,Sornavari,2025,74,0.53,55.49,35.04,19.64,35.0,26.66733333333333,16.667333333333335,0.4109999999999999,57.327333333333335,112
Coimbatore,Thaladi,1981,288,0.84,90.09,27.11,21.23,155.89,23.532666666666668,13.532666666666666,0.8676666666666668,89.34566666666666,146
Coimbatore,Thaladi,1995,288,0.66,85.99,26.62,20.08,84.69,24.321666666666665,14.321666666666664,0.6846666666666669,85.73099999999998,139
Coimbatore,Thaladi,2009,288,0.68,81.14,30.2,20.91,125.22,24.406666666666663,14.406666666666666,0.7216666666666666,86.31466666666665,132
Coimbatore,Thaladi,2024,289,0.86,90.79,24.59,19.5,157.36,25.08983333333333,15.089833333333331,0.731,84.86533333333333,138
Dharmapuri,Kar,1981,135,0.56,60.01,36.91,22.66,91.76000000000002,30.018666666666668,20.018666666666668,0.4119999999999999,54.76433333333333,112
Dharmapuri,Kar,1995,135,0.56,60.72,35.47,22.76,86.35,30.16483333333333,20.16483333333333,0.3516666666666667,55.049,111
Dharmapuri,Kar,2009,135,0.34,58.38,35.85,24.15,24.17,31.5325,21.5325,0.3613333333333334,48.864,108
Dharmapuri,Kar,2024,136,0.56,62.54,36.79,23.95,68.85,32.02483333333334,22.024833333333337,0.3133333333333333,50.98299999999999,112
Dharmapuri,Kuruvai,1981,152,0.56,69.14,34.16,22.71,111.36,28.82633333333333,18.82633333333333,0.5596666666666668,65.35066666666665,118
Dharmapuri,Kuruvai,1995,152,0.57,61.46,37.22,22.78,113.66,28.769666666666676,18.76966666666667,0.5393333333333334,65.42233333333333,114
Dharmapuri,Kuruvai,2009,152,0.59,70.2,33.09,22.01,76.17999999999999,30.217499999999998,20.217500000000005,0.4543333333333333,58.007666666666665,110
Dharmapuri,Kuruvai,2024,153,0.64,77.88,32.76,25.67,177.14,29.465,19.465,0.5863333333333333,68.77033333333334,113
Dharmapuri,Late_Thaladi,1981,319,0.87,88.75,26.7,17.31,207.0,23.56583333333333,13.565833333333334,0.8616666666666668,87.25333333333333,137
Dharmapuri,Late_Thaladi,1995,319,0.67,74.56,27.98,15.09,124.00999999999998,24.3805,14.3805,0.7103333333333333,83.14366666666666,132
Dharmapuri,Late_Thaladi,2009,319,0.76,90.97,26.02,19.53,135.85000000000002,25.220333333333336,15.22033333333333,0.6396666666666667,77.33533333333334,125
Dharmapuri,Late_Thaladi,2024,320,0.77,91.49,26.79,21.32,140.30999999999997,24.92,14.919999999999998,0.7883333333333333,84.28066666666668,129
Dharmapuri,Navarai,1981,15,0.62,79.93,29.05,18.36,5.31,23.58928571428571,13.589285714285714,0.5542857142857144,68.99142857142859,108
Dharmapuri,Navarai,1995,15,0.61,81.41,28.94,18.08,64.15,22.726666666666667,12.726666666666668,0.6003333333333333,76.554,107
Dharmapuri,Navarai,2010,15,0.56,71.83,31.24,18.18,25.16,23.872333333333337,13.872333333333332,0.6006666666666667,77.93533333333333,103
Dharmapuri,Navarai,2025,15,0.62,77.97,28.64,18.32,13.92,22.933333333333334,12.933333333333332,0.701,82.32633333333334,108
Dharmapuri,Samba,1981,227,0.6,73.24,29.11,20.71,144.40999999999997,26.272500000000004,16.272499999999997,0.6356666666666667,73.87833333333333,144
Dharmapuri,Samba,1995,227,0.62,74.85,30.56,21.88,95.45,26.703666666666667,16.703666666666667,0.5896666666666667,72.64033333333332,131
Dharmapuri,Samba,2009,227,0.57,74.54,29.69,22.54,68.77,27.971833333333336,17.971833333333333,0.5010000000000001,65.02900000000001,124
Dharmapuri,Samba,2024,228,0.79,81.1,30.96,22.59,161.88,26.945333333333338,16.94533333333333,0.6426666666666666,74.36433333333333,124
Dharmapuri,Sornavari,1981,74,0.45,58.75,35.76,20.02,25.56,26.563166666666667,16.563166666666664,0.3376666666666666,49.674333333333344,99
Dharmapuri,Sornavari,1995,74,0.2,51.37,37.39,18.79,0.4,27.81399999999999,17.814000000000004,0.2743333333333332,50.498,99
Dharmapuri,Sornavari,2010,74,0.17,36.99,39.29,23.23,0.06,28.834166666666665,18.834166666666665,0.2386666666666666,48.71933333333334,95
Dharmapuri,Sornavari,2025,74,0.43,55.15,37.07,19.34,13.29,27.32483333333333,17.324833333333334,0.381,56.17666666666666,101
Dharmapuri,Thaladi,1981,288,0.8,85.17,27.22,19.81,154.92000000000002,24.58866666666667,14.58866666666667,0.8213333333333334,84.20100000000001,146
Dharmapuri,Thaladi,1995,288,0.7,82.48,28.66,21.44,126.54999999999998,25.480833333333337,15.480833333333331,0.6736666666666669,78.43166666666667,138
Dharmapuri,Thaladi,2009,288,0.63,74.62,30.75,20.19,149.80999999999997,25.989666666666672,15.989666666666665,0.6696666666666666,77.81966666666666,132
Dharmapuri,Thaladi,2024,289,0.83,91.1,26.44,21.56,148.97,26.76083333333334,16.760833333333334,0.646,76.48,135
Kanyakumari,Kar,1981,135,0.69,86.01,28.4,27.32,296.53,28.7285,18.7285,0.49,78.29,113
Kanyakumari,Kar,1995,135,0.66,86.98,28.47,26.47,309.67999999999995,28.80183333333333,18.80183333333333,0.4403333333333333,77.87033333333333,114
Kanyakumari,Kar,2010,135,0.33,77.16,31.9,28.78,93.28,29.847333333333328,19.84733333333333,0.344,78.31899999999999,108
Kanyakumari,Kar,2025,135,0.45,79.24,31.34,28.75,68.41999999999999,29.66716666666667,19.66716666666667,0.458,79.56466666666667,108
Kanyakumari,Kuruvai,1981,152,0.72,83.93,28.57,27.2,324.65000000000003,28.266166666666667,18.266166666666667,0.606,81.824,115
Kanyakumari,Kuruvai,1995,152,0.58,83.5,29.1,26.69,301.2899999999999,27.816500000000005,17.8165,0.6280000000000001,84.63666666666667,115
Kanyakumari,Kuruvai,2009,152,0.38,85.49,29.63,26.81,111.58,28.788,18.788,0.3133333333333333,81.934,112
Kanyakumari,Kuruvai,2024,153,0.44,87.13,30.14,28.17,144.32999999999998,29.93916666666667,19.93916666666666,0.3666666666666666,79.13199999999999,107
Kanyakumari,Late_Thaladi,1981,319,0.86,83.78,27.81,26.05,430.12,26.82933333333333,16.829333333333334,0.8323333333333334,83.17533333333336,115
Kanyakumari,Late_Thaladi,1995,319,0.79,78.91,27.21,25.32,158.84,27.128000000000004,17.127999999999997,0.5326666666666665,82.79199999999999,112
Kanyakumari,Late_Thaladi,2009,319,0.8,85.08,26.79,25.08,321.29,28.09883333333333,18.09883333333333,0.4879999999999998,78.748,110
Kanyakumari,Late_Thaladi,2024,320,0.71,84.79,28.61,27.11,207.89000000000004,28.0815,18.0815,0.6603333333333334,82.102,109
Kanyakumari,Navarai,1981,15,0.45,80.41,28.43,24.47,62.21,26.131071428571424,16.131071428571428,0.5507142857142857,74.61142857142859,105
Kanyakumari,Navarai,1995,15,0.27,74.29,29.73,25.01,0.18,27.20983333333333,17.209833333333332,0.3583333333333334,76.20233333333334,103
Kanyakumari,Navarai,2010,15,0.48,77.47,29.21,25.48,99.78,27.0475,17.0475,0.4823333333333333,79.673,102
Kanyakumari,Navarai,2025,15,0.49,84.3,28.53,25.58,25.34,27.438666666666663,17.43866666666667,0.5773333333333335,79.26566666666666,103
Kanyakumari,Samba,1981,227,0.62,88.71,27.94,25.77,90.78,26.5955,16.5955,0.6986666666666665,87.43699999999997,115
Kanyakumari,Samba,1995,227,0.44,83.02,28.14,25.97,82.13,26.496,16.496,0.539,86.75233333333331,112
Kanyakumari,Samba,2009,227,0.39,81.12,28.42,25.9,65.0,27.058,17.058,0.4593333333333333,86.68133333333334,110
Kanyakumari,Samba,2024,228,0.42,84.8,29.47,26.45,76.75,27.36266666666667,17.362666666666666,0.4596666666666667,87.87433333333333,106
Kanyakumari,Sornavari,1981,74,0.38,75.26,31.09,27.06,23.54000000000001,27.992500000000003,17.9925,0.271,70.15033333333332,104
Kanyakumari,Sornavari,1995,74,0.22,71.23,31.8,26.22,5.95,28.54,18.54,0.1963333333333333,69.12466666666666,105
Kanyakumari,Sornavari,2010,74,0.22,72.99,31.6,27.35,0.04,28.806,18.806,0.2233333333333333,72.10266666666666,98
Kanyakumari,Sornavari,2025,74,0.37,75.41,30.99,26.76,128.67000000000002,28.3155,18.3155,0.3443333333333333,74.83099999999999,100
Kanyakumari,Thaladi,1981,288,0.8,81.65,27.68,25.64,516.81,26.607166666666664,16.607166666666668,0.826,86.54466666666669,117
Kanyakumari,Thaladi,1995,288,0.51,82.09,28.99,26.07,148.25000000000003,27.294166666666676,17.29416666666667,0.4413333333333333,83.964,112
Kanyakumari,Thaladi,2009,288,0.35,78.04,30.08,25.69,75.88000000000002,27.237333333333336,17.237333333333336,0.4193333333333333,84.07333333333332,110
Kanyakumari,Thaladi,2024,289,0.6,81.4,28.76,26.61,173.18999999999997,28.23416666666667,18.234166666666667,0.4716666666666667,82.58333333333334,108
Sivagangai,Kar,1981,135,0.46,66.06,32.75,25.97,95.31,30.8735,20.8735,0.3963333333333333,64.72966666666666,101
Sivagangai,Kar,1995,135,0.42,60.6,36.33,24.54,73.51999999999998,30.74483333333333,20.744833333333336,0.3723333333333333,65.32933333333332,97
Sivagangai,Kar,2010,135,0.41,64.39,35.66,27.32,57.86999999999999,32.08083333333334,22.080833333333334,0.3396666666666667,63.68266666666666,92
Sivagangai,Kar,2025,135,0.55,67.73,36.64,26.05,42.15,31.0415,21.0415,0.4429999999999999,68.52933333333334,91
Sivagangai,Kuruvai,1981,152,0.49,75.84,32.02,25.15,117.01000000000002,29.90716666666667,19.90716666666667,0.476,69.55833333333334,103
Sivagangai,Kuruvai,1995,152,0.44,61.41,37.54,25.6,84.02,30.26516666666667,20.26516666666667,0.4463333333333333,66.94466666666666,98
Sivagangai,Kuruvai,2010,152,0.38,55.99,38.51,26.58,64.34,31.8825,21.8825,0.4316666666666667,64.58466666666666,95
Sivagangai,Kuruvai,2025,152,0.44,61.02,38.46,25.2,98.76,30.985833333333336,20.98583333333333,0.482,67.58500000000001,91
Sivagangai,Late_Thaladi,1981,319,0.92,91.1,28.3,22.94,326.23,26.020333333333337,16.020333333333333,0.8663333333333334,86.60866666666666,124
Sivagangai,Late_Thaladi,1995,319,0.64,76.25,29.89,20.57,151.25,27.415333333333333,17.415333333333333,0.5506666666666666,79.99833333333332,114
Sivagangai,Late_Thaladi,2009,319,0.83,93.38,27.2,23.06,278.84000000000003,28.669666666666668,18.669666666666668,0.5006666666666667,72.15933333333332,117
Sivagangai,Late_Thaladi,2024,320,0.76,89.99,28.89,24.31,149.95999999999998,27.332666666666668,17.332666666666668,0.7263333333333334,84.37433333333333,119
Sivagangai,Navarai,1981,15,0.46,78.0,31.01,21.57,29.44,25.454999999999995,15.455,0.4871428571428572,72.71785714285714,100
Sivagangai,Navarai,1995,15,0.44,74.22,30.73,22.61,24.39,25.940166666666677,15.940166666666666,0.4816666666666666,75.06233333333333,99
Sivagangai,Navarai,2010,15,0.56,78.15,30.3,21.72,45.36,25.10733333333333,15.107333333333337,0.6666666666666665,85.34700000000001,98
Sivagangai,Navarai,2025,15,0.69,88.39,27.87,21.95,27.35,25.15300000000001,15.153,0.7550000000000001,85.53333333333332,104
Sivagangai,Samba,1981,227,0.44,66.54,34.78,23.7,106.84,28.61833333333334,18.61833333333333,0.5193333333333334,71.12899999999999,117
Sivagangai,Samba,1995,227,0.43,65.08,32.84,25.54,52.04,29.469166666666677,19.469166666666663,0.4306666666666667,65.76333333333334,103
Sivagangai,Samba,2009,227,0.42,64.45,32.67,26.09,28.63,31.649833333333337,21.649833333333337,0.2573333333333333,53.28066666666666,98
Sivagangai,Samba,2024,228,0.53,73.84,34.97,25.2,83.74,30.1665,20.1665,0.4666666666666667,66.107,101
Sivagangai,Sornavari,1981,74,0.33,62.49,35.9,24.27,33.8,28.11483333333333,18.11483333333333,0.3556666666666667,63.52166666666666,93
Sivagangai,Sornavari,1995,74,0.27,61.79,36.68,23.71,6.069999999999999,29.565333333333328,19.56533333333333,0.2166666666666666,59.78566666666667,92
Sivagangai,Sornavari,2010,74,0.21,53.93,37.56,25.45,0.02,29.485000000000003,19.485000000000003,0.3126666666666668,63.14266666666667,87
Sivagangai,Sornavari,2025,74,0.44,63.46,36.27,24.29,64.31,28.16,18.16,0.464,69.988,92
Sivagangai,Thaladi,1981,288,0.77,81.64,30.37,23.17,202.16,26.869666666666667,16.869666666666664,0.7753333333333333,83.70299999999997,129
Sivagangai,Thaladi,1995,288,0.46,71.09,34.12,25.01,83.15,29.410833333333333,19.410833333333336,0.4513333333333333,68.98766666666667,116
Sivagangai,Thaladi,2009,288,0.34,58.74,35.28,25.71,52.69,30.115333333333336,20.115333333333336,0.4113333333333334,64.67433333333334,117
Sivagangai,Thaladi,2024,289,0.74,88.32,27.62,23.44,169.88000000000002,29.922833333333333,19.922833333333333,0.48,68.84066666666666,120
Thanjavur,Kar,1981,135,0.43,56.85,37.64,26.65,72.35,31.819166666666664,21.819166666666664,0.3176666666666666,61.76666666666666,94
Thanjavur,Kar,1995,135,0.49,60.26,35.69,25.01,132.79,31.27116666666667,21.271166666666662,0.347,64.45233333333334,97
Thanjavur,Kar,2010,135,0.42,63.86,36.19,28.07,63.42000000000001,32.337500000000006,22.3375,0.352,64.979,93
Thanjavur,Kar,2025,135,0.52,69.55,35.73,26.96,44.03,31.587333333333337,21.587333333333337,0.3929999999999999,66.43733333333334,91
Thanjavur,Kuruvai,1981,152,0.42,65.63,35.1,26.23,86.03000000000002,31.12333333333333,21.12333333333333,0.4326666666666667,64.48766666666667,97
Thanjavur,Kuruvai,1995,152,0.5,63.22,37.35,25.86,150.34,30.221000000000004,20.221000000000004,0.4983333333333334,69.45033333333335,98
Thanjavur,Kuruvai,2010,152,0.43,57.7,39.15,26.52,68.77999999999999,32.240500000000004,22.240500000000004,0.4519999999999999,64.84366666666668,96
Thanjavur,Kuruvai,2025,152,0.47,58.24,38.43,25.94,121.6,31.002666666666663,21.002666666666663,0.4863333333333334,68.208,92
Thanjavur,Late_Thaladi,1981,319,0.89,90.05,28.4,22.82,310.90000000000003,26.1105,16.110499999999995,0.8336666666666667,87.59133333333332,124
Thanjavur,Late_Thaladi,1995,319,0.65,77.61,29.15,20.17,160.03000000000003,27.2075,17.2075,0.6056666666666666,83.10066666666667,116
Thanjavur,Late_Thaladi,2009,319,0.84,93.27,27.35,22.93,334.92,28.40483333333333,18.40483333333333,0.5593333333333332,75.10066666666665,121
Thanjavur,Late_Thaladi,2024,320,0.78,90.25,28.95,24.71,175.6,27.598166666666664,17.598166666666668,0.6813333333333335,84.145,120
Thanjavur,Navarai,1981,15,0.55,81.51,29.79,22.21,18.75,25.1875,15.187500000000002,0.5064285714285716,75.42071428571428,101
Thanjavur,Navarai,1995,15,0.53,80.69,29.34,21.97,72.77,25.22566666666667,15.225666666666667,0.5400000000000001,79.23666666666666,100
Thanjavur,Navarai,2010,15,0.75,82.6,28.07,22.01,77.01,24.7355,14.7355,0.8173333333333335,88.39166666666665,102
Thanjavur,Navarai,2025,15,0.76,87.19,27.1,22.44,32.83,24.987166666666667,14.987166666666669,0.8253333333333334,87.22066666666665,104
Thanjavur,Samba,1981,227,0.45,62.84,34.9,24.51,118.02000000000002,29.3055,19.305499999999995,0.4966666666666667,67.73499999999999,116
Thanjavur,Samba,1995,227,0.5,69.29,32.84,25.52,74.42,29.424833333333336,19.42483333333333,0.4793333333333335,68.16266666666667,105
Thanjavur,Samba,2009,227,0.45,71.69,30.72,25.78,52.580000000000005,31.63083333333333,21.63083333333333,0.3473333333333332,56.32433333333333,98
Thanjavur,Samba,2024,228,0.52,74.24,33.85,26.27,96.72,30.4885,20.4885,0.4626666666666666,65.83966666666667,101
Thanjavur,Sornavari,1981,74,0.34,62.1,35.42,24.4,23.050000000000004,28.02650000000001,18.0265,0.3673333333333333,65.43766666666666,89
Thanjavur,Sornavari,1995,74,0.25,64.69,35.87,23.29,1.37,29.04883333333333,19.04883333333333,0.3213333333333333,63.89866666666664,91
Thanjavur,Sornavari,2010,74,0.35,61.57,36.65,23.85,0.28,28.49966666666667,18.499666666666663,0.4406666666666665,69.75566666666667,87
Thanjavur,Sornavari,2025,74,0.49,69.76,35.52,23.42,64.03999999999999,27.799500000000005,17.799500000000005,0.5123333333333333,73.98299999999999,91
Thanjavur,Thaladi,1981,288,0.71,80.76,30.12,23.63,169.12,26.95233333333333,16.952333333333332,0.734,84.08900000000001,128
Thanjavur,Thaladi,1995,288,0.55,79.26,31.34,24.93,98.87,28.914,18.914,0.517,72.80966666666667,118
Thanjavur,Thaladi,2009,288,0.41,60.9,35.26,25.46,67.36000000000001,30.178,20.178,0.4423333333333332,65.86966666666666,121
Thanjavur,Thaladi,2024,289,0.71,89.52,27.65,23.86,141.57000000000002,29.921,19.921,0.4956666666666666,71.11266666666667,120
Vellore,Kar,1981,135,0.54,57.36,39.47,25.42,77.55,32.00666666666666,22.006666666666664,0.3590000000000001,55.48599999999999,98
Vellore,Kar,1995,135,0.6,61.18,37.05,24.56,117.05,31.136333333333333,21.136333333333333,0.3606666666666667,59.752,99
Vellore,Kar,2010,135,0.24,55.93,38.82,28.1,20.49,33.029,23.029000000000003,0.3193333333333333,56.23333333333334,99
Vellore,Kar,2025,135,0.51,64.28,37.76,26.74,45.510000000000005,31.785,21.785,0.4203333333333331,61.43433333333335,97
Vellore,Kuruvai,1981,152,0.47,58.84,37.53,25.93,82.36,31.267666666666667,21.26766666666667,0.4963333333333333,60.719,103
Vellore,Kuruvai,1995,152,0.56,60.3,38.58,24.85,129.51,30.18933333333333,20.18933333333333,0.5506666666666667,66.51033333333332,102
Vellore,Kuruvai,2009,152,0.54,63.56,35.27,24.52,67.02,32.62716666666667,22.62716666666667,0.4123333333333333,55.04233333333333,97
Vellore,Kuruvai,2024,153,0.38,58.05,37.14,29.07,49.4,32.852000000000004,22.852,0.4123333333333333,58.69066666666666,102
Vellore,Late_Thaladi,1981,319,0.86,87.63,28.08,20.39,264.05999999999995,24.808666666666667,14.808666666666664,0.8553333333333335,87.91333333333334,132
Vellore,Late_Thaladi,1995,319,0.76,78.77,28.12,17.31,168.35,25.266666666666676,15.266666666666664,0.7826666666666665,86.03833333333333,129
Vellore,Late_Thaladi,2009,319,0.85,92.71,26.58,22.68,239.85,26.157166666666665,16.15716666666667,0.6966666666666668,80.27266666666668,126
Vellore,Late_Thaladi,2024,320,0.83,91.24,28.0,23.65,157.88,26.397,16.397,0.7846666666666667,84.139,129
Vellore,Navarai,1981,15,0.75,86.97,27.39,19.77,8.2,23.207500000000003,13.2075,0.6392857142857142,78.88142857142859,106
Vellore,Navarai,1995,15,0.75,87.87,27.39,19.18,158.41000000000005,22.13583333333333,12.13583333333333,0.7506666666666667,85.369,108
Vellore,Navarai,2010,15,0.67,81.2,28.26,19.33,50.59,23.536,13.536,0.7273333333333335,85.04233333333333,103
Vellore,Navarai,2025,15,0.77,85.21,26.85,19.24,54.44,23.30250000000001,13.302499999999998,0.8223333333333334,87.11333333333332,108
Vellore,Samba,1981,227,0.68,72.75,32.39,23.29,172.58,27.869666666666667,17.869666666666667,0.6636666666666667,73.24166666666666,127
Vellore,Samba,1995,227,0.71,77.59,30.93,24.06,127.47,28.613,18.613,0.623,71.385,121
Vellore,Samba,2009,227,0.65,83.35,28.02,23.96,103.07,30.421333333333337,20.421333333333333,0.5026666666666668,59.94866666666667,115
Vellore,Samba,2024,228,0.79,83.28,32.18,24.33,209.54,29.094000000000005,19.094000000000005,0.6766666666666666,71.47933333333334,112
Vellore,Sornavari,1981,74,0.43,62.9,36.11,21.24,13.13,26.645833333333336,16.645833333333332,0.4386666666666667,62.19233333333332,89
Vellore,Sornavari,1995,74,0.37,64.65,36.57,21.26,0.0,27.165,17.165,0.499,67.36466666666666,92
Vellore,Sornavari,2010,74,0.28,48.38,39.46,23.6,0.0,28.39466666666667,18.39466666666667,0.4203333333333334,63.694,87
Vellore,Sornavari,2025,74,0.48,64.44,37.2,20.15,7.77,26.684166666666663,16.684166666666666,0.5486666666666667,68.60066666666668,92
Vellore,Thaladi,1981,288,0.77,78.55,29.69,19.0,166.77,26.2,16.2,0.8146666666666668,82.94333333333333,140
Vellore,Thaladi,1995,288,0.77,85.85,29.84,22.74,146.29,26.78183333333333,16.781833333333335,0.7393333333333332,80.68533333333333,133
Vellore,Thaladi,2009,288,0.66,70.57,31.84,22.16,186.66,27.0475,17.0475,0.751,80.292,131
Vellore,Thaladi,2024,289,0.88,91.83,27.93,23.27,156.09,28.045666666666666,18.045666666666666,0.6796666666666665,78.065,132
